04_04_2020_023227: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_023227: Iran: Total cases: 55743, Total deaths: 3452, Death rate: 6.19%
04_04_2020_023227: Uk: Total cases: 41903, Total deaths: 4313, Death rate: 10.29%
04_04_2020_023227: Germany: Total cases: 92081, Total deaths: 1299, Death rate: 1.41%
04_04_2020_023227: Spain: Total cases: 124736, Total deaths: 11744, Death rate: 9.42%
04_04_2020_023227: World: Total cases: 1153142, Total deaths: 61657, Death rate: 5.35%
04_04_2020_023227: Us: Total cases: 290920, Total deaths: 7844, Death rate: 2.70%
04_04_2020_023227: Italy: Total cases: 119827, Total deaths: 14681, Death rate: 12.25%
04_04_2020_023227: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_023227: Iran: Total cases: 55743, Total deaths: 3452, Death rate: 6.19%
04_04_2020_023227: Uk: Total cases: 41903, Total deaths: 4313, Death rate: 10.29%
04_04_2020_023227: Germany: Total cases: 92150, Total deaths: 1330, Death rate: 1.44%
04_04_2020_023227: Spain: Total cases: 124736, Total deaths: 11744, Death rate: 9.42%
04_04_2020_023227: World: Total cases: 1162256, Total deaths: 62444, Death rate: 5.37%
04_04_2020_023227: Us: Total cases: 293481, Total deaths: 7896, Death rate: 2.69%
04_04_2020_023227: Italy: Total cases: 124632, Total deaths: 15362, Death rate: 12.33%
04_04_2020_023227: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_023227: Iran: Total cases: 55743, Total deaths: 3452, Death rate: 6.19%
04_04_2020_023227: Uk: Total cases: 41903, Total deaths: 4313, Death rate: 10.29%
04_04_2020_023227: Germany: Total cases: 92150, Total deaths: 1330, Death rate: 1.44%
04_04_2020_023227: Spain: Total cases: 124736, Total deaths: 11744, Death rate: 9.42%
04_04_2020_121523: World: Total cases: 1169408, Total deaths: 62735, Death rate: 5.36%
04_04_2020_121523: Us: Total cases: 300106, Total deaths: 8141, Death rate: 2.71%
04_04_2020_121523: Italy: Total cases: 124632, Total deaths: 15362, Death rate: 12.33%
04_04_2020_121524: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_121524: Iran: Total cases: 55743, Total deaths: 3452, Death rate: 6.19%
04_04_2020_121524: Uk: Total cases: 41903, Total deaths: 4313, Death rate: 10.29%
04_04_2020_121525: Germany: Total cases: 92150, Total deaths: 1330, Death rate: 1.44%
04_04_2020_121525: Spain: Total cases: 124736, Total deaths: 11744, Death rate: 9.42%
04_04_2020_121832: World: Total cases: 1169478, Total deaths: 62735, Death rate: 5.36%
04_04_2020_121832: Us: Total cases: 300106, Total deaths: 8141, Death rate: 2.71%
04_04_2020_121832: Italy: Total cases: 124632, Total deaths: 15362, Death rate: 12.33%
04_04_2020_121833: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_121833: Iran: Total cases: 55743, Total deaths: 3452, Death rate: 6.19%
04_04_2020_121833: Uk: Total cases: 41903, Total deaths: 4313, Death rate: 10.29%
04_04_2020_121833: Germany: Total cases: 92150, Total deaths: 1330, Death rate: 1.44%
04_04_2020_121834: Spain: Total cases: 124736, Total deaths: 11744, Death rate: 9.42%
04_04_2020_121936: World: Total cases: 1169478, Total deaths: 62735, Death rate: 5.36%
04_04_2020_121936: Us: Total cases: 300106, Total deaths: 8141, Death rate: 2.71%
04_04_2020_121936: Italy: Total cases: 124632, Total deaths: 15362, Death rate: 12.33%
04_04_2020_121937: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
04_04_2020_121937: Iran: Total cases: 55743, Total deaths: 3452, Death rate: 6.19%
04_04_2020_121937: Uk: Total cases: 41903, Total deaths: 4313, Death rate: 10.29%
04_04_2020_121938: Germany: Total cases: 92150, Total deaths: 1330, Death rate: 1.44%
04_04_2020_121938: Spain: Total cases: 124736, Total deaths: 11744, Death rate: 9.42%
04_04_2020_122040: World: Total cases: 1169552, Total deaths: 62735, Death rate: 5.36%
04_04_2020_122040: Us: Total cases: 300148, Total deaths: 8141, Death rate: 2.71%
04_04_2020_122041: Italy: Total cases: 124632, Total deaths: 15362, Death rate: 12.33%
04_04_2020_122041: France: Total cases: 82165, Total deaths: 6507, Death rate: 7.92%
